Technology name,Heat pump,Gas boiler,Gas CHP,Solar PV,Solar thermal
Output type 1,Heat,Heat,Elec,Elec,Heat
Output type 2,,,Heat,,
Input type 1,Elec,Gas,Gas,Solar,Solar
Input type 2,,,,,
Lifetime,20,30,20,20,35
Capital cost (per kW or m2 for solar),1000,200,1500,3500,2900
Capital cost fixed,0,0,0,0,0
OM cost per kWh,0.1,0.01,0.021,0.06,0.12
OM cost fixed,0,0,0,0,0
Efficiency,3.2,0.94,0.3,0.14,0.46
Minimum part load,0,0,0,0,0
Output ratio,0,0,1.73,0,0
Input ratio,0,0,0,0,0
Minimum capacity,0,0,50,0,0
Maximum capacity,100,100,50,0,0
